extraction_key,chart_id,is_original,perturbation_type,intensity,status,value_accuracy,f1_score,relative_accuracy,composite_score,evaluation_notes
chart_001_complex_bar_original,chart_001_complex_bar,True,none,none,success,22.22222222222222,0.5,100.0,36.11111111111111,Successfully evaluated
chart_002_medium_bar_original,chart_002_medium_bar,True,none,none,success,11.11111111111111,0.5,100.0,30.555555555555557,Successfully evaluated
chart_003_medium_bar_original,chart_003_medium_bar,True,none,none,success,0.0,0.7692307692307693,100.0,38.46153846153847,Successfully evaluated
chart_004_complex_pie_original,chart_004_complex_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_005_complex_bar_original,chart_005_complex_bar,True,none,none,success,14.285714285714285,0.6,100.0,37.142857142857146,Successfully evaluated
chart_006_medium_bar_original,chart_006_medium_bar,True,none,none,success,33.33333333333333,0.6666666666666666,100.0,49.99999999999999,Successfully evaluated
chart_007_medium_line_original,chart_007_medium_line,True,none,none,success,40.0,1.0,100.0,70.0,Successfully evaluated
chart_008_advanced_pie_original,chart_008_advanced_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_009_medium_bar_original,chart_009_medium_bar,True,none,none,success,18.75,0.6666666666666666,100.0,42.70833333333333,Successfully evaluated
chart_010_complex_bar_original,chart_010_complex_bar,True,none,none,success,12.5,0.5882352941176471,100.0,35.661764705882355,Successfully evaluated
chart_011_advanced_scatter_original,chart_011_advanced_scatter,True,none,none,success,16.666666666666664,1.0,100.0,58.33333333333333,Successfully evaluated
chart_012_complex_line_original,chart_012_complex_line,True,none,none,success,20.0,1.0,100.0,60.0,Successfully evaluated
chart_013_complex_pie_original,chart_013_complex_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_014_complex_bar_original,chart_014_complex_bar,True,none,none,success,9.090909090909092,0.4,100.0,24.545454545454547,Successfully evaluated
chart_015_advanced_pie_original,chart_015_advanced_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_016_medium_scatter_original,chart_016_medium_scatter,True,none,none,success,0.0,0.923076923076923,100.0,46.15384615384615,Successfully evaluated
chart_017_advanced_line_original,chart_017_advanced_line,True,none,none,success,25.0,0.9565217391304348,100.0,60.32608695652174,Successfully evaluated
chart_018_advanced_bar_original,chart_018_advanced_bar,True,none,none,success,23.076923076923077,1.0,100.0,61.53846153846154,Successfully evaluated
chart_019_complex_bar_original,chart_019_complex_bar,True,none,none,success,9.375,0.5454545454545454,100.0,31.96022727272727,Successfully evaluated
chart_020_complex_line_original,chart_020_complex_line,True,none,none,success,27.27272727272727,1.0,100.0,63.63636363636363,Successfully evaluated
chart_021_medium_area_original,chart_021_medium_area,True,none,none,success,33.33333333333333,1.0,100.0,66.66666666666666,Successfully evaluated
chart_022_complex_scatter_original,chart_022_complex_scatter,True,none,none,success,0.0,0.9411764705882353,100.0,47.05882352941176,Successfully evaluated
chart_023_complex_line_original,chart_023_complex_line,True,none,none,success,9.090909090909092,1.0,100.0,54.54545454545454,Successfully evaluated
chart_024_advanced_scatter_original,chart_024_advanced_scatter,True,none,none,success,0.0,0.8,100.0,40.0,Successfully evaluated
chart_025_medium_scatter_original,chart_025_medium_scatter,True,none,none,success,0.0,0.8571428571428571,100.0,42.857142857142854,Successfully evaluated
chart_026_medium_bar_original,chart_026_medium_bar,True,none,none,success,14.285714285714285,0.7272727272727273,100.0,43.506493506493506,Successfully evaluated
chart_027_complex_bar_original,chart_027_complex_bar,True,none,none,success,19.444444444444446,0.5,100.0,34.72222222222222,Successfully evaluated
chart_028_medium_scatter_original,chart_028_medium_scatter,True,none,none,success,0.0,0.8235294117647058,100.0,41.17647058823529,Successfully evaluated
chart_029_complex_line_original,chart_029_complex_line,True,none,none,success,25.0,0.9090909090909091,100.0,57.95454545454546,Successfully evaluated
chart_030_medium_bar_original,chart_030_medium_bar,True,none,none,success,16.666666666666664,0.6666666666666666,100.0,41.666666666666664,Successfully evaluated
chart_031_complex_scatter_original,chart_031_complex_scatter,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_032_complex_area_original,chart_032_complex_area,True,none,none,success,25.0,0.888888888888889,100.0,56.94444444444444,Successfully evaluated
chart_033_advanced_area_original,chart_033_advanced_area,True,none,none,success,12.5,0.5454545454545454,100.0,33.52272727272727,Successfully evaluated
chart_034_medium_pie_original,chart_034_medium_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_035_medium_bar_original,chart_035_medium_bar,True,none,none,success,33.33333333333333,0.6666666666666666,100.0,49.99999999999999,Successfully evaluated
chart_036_complex_bar_original,chart_036_complex_bar,True,none,none,success,19.047619047619047,0.6,100.0,39.523809523809526,Successfully evaluated
chart_037_advanced_scatter_original,chart_037_advanced_scatter,True,none,none,success,0.0,0.782608695652174,100.0,39.130434782608695,Successfully evaluated
chart_038_medium_line_original,chart_038_medium_line,True,none,none,success,28.57142857142857,1.0,100.0,64.28571428571428,Successfully evaluated
chart_039_medium_line_original,chart_039_medium_line,True,none,none,success,28.57142857142857,0.6666666666666666,100.0,47.61904761904761,Successfully evaluated
chart_040_medium_line_original,chart_040_medium_line,True,none,none,success,44.44444444444444,1.0,100.0,72.22222222222221,Successfully evaluated
chart_041_advanced_bar_original,chart_041_advanced_bar,True,none,none,success,12.5,0.5882352941176471,100.0,35.661764705882355,Successfully evaluated
chart_042_complex_scatter_original,chart_042_complex_scatter,True,none,none,success,0.0,0.8,100.0,40.0,Successfully evaluated
chart_043_medium_line_original,chart_043_medium_line,True,none,none,success,42.857142857142854,1.0,100.0,71.42857142857143,Successfully evaluated
chart_044_complex_scatter_original,chart_044_complex_scatter,True,none,none,success,0.0,0.5333333333333333,100.0,26.666666666666668,Successfully evaluated
chart_045_medium_area_original,chart_045_medium_area,True,none,none,success,30.0,0.7499999999999999,100.0,52.49999999999999,Successfully evaluated
chart_046_medium_line_original,chart_046_medium_line,True,none,none,success,25.0,0.9411764705882353,100.0,59.55882352941176,Successfully evaluated
chart_047_medium_bar_original,chart_047_medium_bar,True,none,none,success,33.33333333333333,0.5,100.0,41.666666666666664,Successfully evaluated
chart_048_medium_pie_original,chart_048_medium_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_049_medium_bar_original,chart_049_medium_bar,True,none,none,success,25.0,0.888888888888889,100.0,56.94444444444444,Successfully evaluated
chart_050_complex_bar_original,chart_050_complex_bar,True,none,none,success,15.151515151515152,0.5,100.0,32.57575757575758,Successfully evaluated
chart_051_medium_line_original,chart_051_medium_line,True,none,none,success,41.66666666666667,0.6666666666666666,100.0,54.16666666666667,Successfully evaluated
chart_052_complex_bar_original,chart_052_complex_bar,True,none,none,success,60.60606060606061,0.5333333333333333,100.0,56.96969696969697,Successfully evaluated
chart_053_complex_bar_original,chart_053_complex_bar,True,none,none,success,52.27272727272727,0.4,100.0,46.13636363636363,Successfully evaluated
chart_054_advanced_bar_original,chart_054_advanced_bar,True,none,none,success,27.27272727272727,1.0,100.0,63.63636363636363,Successfully evaluated
chart_055_medium_pie_original,chart_055_medium_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_056_advanced_area_original,chart_056_advanced_area,True,none,none,success,61.53846153846154,1.0,100.0,80.76923076923077,Successfully evaluated
chart_057_advanced_area_original,chart_057_advanced_area,True,none,none,success,42.857142857142854,0.6666666666666666,100.0,54.76190476190476,Successfully evaluated
chart_058_complex_bar_original,chart_058_complex_bar,True,none,none,success,12.5,0.5,100.0,31.25,Successfully evaluated
chart_059_medium_bar_original,chart_059_medium_bar,True,none,none,success,12.5,0.6666666666666666,100.0,39.58333333333333,Successfully evaluated
chart_060_complex_line_original,chart_060_complex_line,True,none,none,success,66.66666666666666,1.0,100.0,83.33333333333333,Successfully evaluated
chart_061_medium_bar_original,chart_061_medium_bar,True,none,none,success,14.285714285714285,0.5,100.0,32.14285714285714,Successfully evaluated
chart_062_medium_bar_original,chart_062_medium_bar,True,none,none,success,4.761904761904762,0.5,100.0,27.380952380952383,Successfully evaluated
chart_063_complex_bar_original,chart_063_complex_bar,True,none,none,success,40.625,0.4,100.0,40.3125,Successfully evaluated
chart_064_advanced_bar_original,chart_064_advanced_bar,True,none,none,success,27.27272727272727,1.0,100.0,63.63636363636363,Successfully evaluated
chart_065_advanced_bar_original,chart_065_advanced_bar,True,none,none,success,21.428571428571427,1.0,100.0,60.71428571428571,Successfully evaluated
chart_066_complex_bar_original,chart_066_complex_bar,True,none,none,success,59.25925925925925,0.5,100.0,54.629629629629626,Successfully evaluated
chart_067_advanced_line_original,chart_067_advanced_line,True,none,none,success,7.6923076923076925,1.0,100.0,53.84615384615385,Successfully evaluated
chart_068_medium_line_original,chart_068_medium_line,True,none,none,success,93.75,0.6666666666666666,100.0,80.20833333333333,Successfully evaluated
chart_069_complex_pie_original,chart_069_complex_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_070_advanced_pie_original,chart_070_advanced_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_071_advanced_bar_original,chart_071_advanced_bar,True,none,none,success,30.76923076923077,1.0,100.0,65.38461538461539,Successfully evaluated
chart_072_advanced_scatter_original,chart_072_advanced_scatter,True,none,none,success,9.090909090909092,1.0,100.0,54.54545454545454,Successfully evaluated
chart_073_medium_scatter_original,chart_073_medium_scatter,True,none,none,success,0.0,0.8333333333333333,100.0,41.666666666666664,Successfully evaluated
chart_074_advanced_line_original,chart_074_advanced_line,True,none,none,success,18.181818181818183,1.0,100.0,59.09090909090909,Successfully evaluated
chart_075_medium_bar_original,chart_075_medium_bar,True,none,none,success,37.5,0.6666666666666666,100.0,52.08333333333333,Successfully evaluated
chart_076_advanced_bar_original,chart_076_advanced_bar,True,none,none,success,23.076923076923077,1.0,100.0,61.53846153846154,Successfully evaluated
chart_077_advanced_line_original,chart_077_advanced_line,True,none,none,success,51.42857142857142,0.4444444444444445,100.0,47.93650793650793,Successfully evaluated
chart_078_medium_area_original,chart_078_medium_area,True,none,none,success,58.333333333333336,0.6666666666666666,100.0,62.5,Successfully evaluated
chart_079_complex_bar_original,chart_079_complex_bar,True,none,none,success,15.151515151515152,0.5,100.0,32.57575757575758,Successfully evaluated
chart_080_medium_line_original,chart_080_medium_line,True,none,none,success,50.0,1.0,100.0,75.0,Successfully evaluated
chart_081_medium_area_original,chart_081_medium_area,True,none,none,success,57.14285714285714,1.0,100.0,78.57142857142857,Successfully evaluated
chart_082_complex_area_original,chart_082_complex_area,True,none,none,success,16.666666666666664,1.0,100.0,58.33333333333333,Successfully evaluated
chart_083_complex_bar_original,chart_083_complex_bar,True,none,none,success,15.909090909090908,0.42857142857142855,100.0,29.383116883116884,Successfully evaluated
chart_084_complex_bar_original,chart_084_complex_bar,True,none,none,success,38.88888888888889,0.5,100.0,44.44444444444445,Successfully evaluated
chart_085_medium_pie_original,chart_085_medium_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_086_complex_scatter_original,chart_086_complex_scatter,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_087_complex_line_original,chart_087_complex_line,True,none,none,success,9.090909090909092,1.0,100.0,54.54545454545454,Successfully evaluated
chart_088_complex_bar_original,chart_088_complex_bar,True,none,none,success,18.51851851851852,0.5,100.0,34.25925925925926,Successfully evaluated
chart_089_medium_pie_original,chart_089_medium_pie,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_090_advanced_scatter_original,chart_090_advanced_scatter,True,none,none,success,18.181818181818183,1.0,100.0,59.09090909090909,Successfully evaluated
chart_091_medium_bar_original,chart_091_medium_bar,True,none,none,success,15.0,0.6666666666666666,100.0,40.833333333333336,Successfully evaluated
chart_092_complex_scatter_original,chart_092_complex_scatter,True,none,none,success,0.0,1.0,100.0,50.0,Successfully evaluated
chart_093_complex_bar_original,chart_093_complex_bar,True,none,none,success,37.5,0.4,100.0,38.75,Successfully evaluated
chart_094_medium_scatter_original,chart_094_medium_scatter,True,none,none,success,0.0,0.7142857142857143,100.0,35.714285714285715,Successfully evaluated
