extraction_id,extraction_type,chart_title,chart_type,extraction_confidence,data_completeness,extracted_data_points,extraction_timestamp,response_time,original_chart_id,perturbation_type,perturbation_intensity,validation_is_valid,validation_warnings,validation_errors,ground_truth_data_points
chart_179_advanced_bar,original,Quality Control Metrics - (Operational Metrics),grouped_bar,high,complete,13,2025-06-21T15:26:18.969524,11.286500930786133,chart_179_advanced_bar,none,none,True,0,0,0
chart_035_medium_line,original,Market Share Analysis - (Business Analytics),line,medium,complete,9,2025-06-21T15:26:26.853917,6.879862546920776,chart_035_medium_line,none,none,True,0,0,0
chart_058_complex_bar,original,Experimental Results Comparison - (Scientific Research),grouped_bar,high,complete,32,2025-06-21T15:26:49.001596,21.135172128677368,chart_058_complex_bar,none,none,True,0,0,0
chart_189_medium_pie,original,Resource Utilization - (Operational Metrics),pie,high,complete,8,2025-06-21T15:26:56.417567,6.396758794784546,chart_189_medium_pie,none,none,True,0,0,0
chart_003_medium_bar,original,Regional Sales Comparison - (Business Analytics),grouped_bar,high,complete,16,2025-06-21T15:27:08.351210,10.925390005111694,chart_003_medium_bar,none,none,True,0,0,0
chart_102_medium_line,original,Portfolio Performance Tracking - (Financial Analysis),line,medium,complete,27,2025-06-21T15:27:26.752429,17.390035390853882,chart_102_medium_line,none,none,True,0,0,0
chart_196_advanced_scatter,original,Production Efficiency - (Operational Metrics),scatter,medium,complete,14,2025-06-21T15:27:36.834201,9.07361912727356,chart_196_advanced_scatter,none,none,True,0,0,0
chart_120_complex_pie,original,Sector Comparison - (Financial Analysis),pie,high,complete,12,2025-06-21T15:27:45.165019,7.319751977920532,chart_120_complex_pie,none,none,True,0,0,0
chart_011_medium_scatter,original,Quarterly Performance Dashboard - (Business Analytics),scatter,medium,complete,6,2025-06-21T15:27:51.952358,5.784586191177368,chart_011_medium_scatter,none,none,True,0,6,0
chart_192_complex_line,original,Supply Chain Performance - (Operational Metrics),line,medium,partial,11,2025-06-21T15:28:00.883970,7.920949697494507,chart_192_complex_line,none,none,True,0,0,0
chart_153_advanced_pie,original,Service Level Agreement - (Operational Metrics),pie,high,complete,12,2025-06-21T15:28:09.889632,8.003771543502808,chart_153_advanced_pie,none,none,True,0,0,0
chart_064_complex_pie,original,Sensor Measurements Overtime - (Scientific Research),pie,high,complete,12,2025-06-21T15:28:22.668175,11.775166034698486,chart_064_complex_pie,none,none,True,0,0,0
chart_190_advanced_line,original,Supply Chain Performance - (Operational Metrics),line,medium,complete,41,2025-06-21T15:28:48.084601,24.412330389022827,chart_190_advanced_line,none,none,True,0,0,0
chart_028_advanced_area,original,Regional Sales Comparison - (Business Analytics),line,high,partial,17,2025-06-21T15:29:01.407464,12.316218852996826,chart_028_advanced_area,none,none,True,0,0,0
chart_050_medium_pie,original,Product Line Profitability - (Business Analytics),pie,high,complete,9,2025-06-21T15:29:09.285642,6.875510931015015,chart_050_medium_pie,none,none,True,0,0,0
chart_074_complex_bar,original,Sensor Measurements Overtime - (Scientific Research),grouped_bar,high,complete,33,2025-06-21T15:29:25.320339,15.029338359832764,chart_074_complex_bar,none,none,True,0,0,0
chart_002_medium_bar,original,Customer Satisfaction Metrics - (Business Analytics),grouped_bar,high,complete,18,2025-06-21T15:29:37.702220,11.380236625671387,chart_002_medium_bar,none,none,True,0,0,0
chart_159_complex_line,original,Resource Utilization - (Operational Metrics),line,medium,partial,12,2025-06-21T15:29:46.812133,8.106703042984009,chart_159_complex_line,none,none,True,0,0,0
chart_167_advanced_area,original,Resource Utilization - (Operational Metrics),line,medium,partial,30,2025-06-21T15:30:08.717750,20.903313398361206,chart_167_advanced_area,none,none,True,0,0,0
chart_045_complex_bar,original,Customer Satisfaction Metrics - (Business Analytics),grouped_bar,high,complete,33,2025-06-21T15:30:33.951090,24.22470450401306,chart_045_complex_bar,none,none,True,0,0,0
chart_195_advanced_pie,original,Supply Chain Performance - (Operational Metrics),pie,high,complete,10,2025-06-21T15:30:42.952407,7.999129295349121,chart_195_advanced_pie,none,none,True,0,0,0
chart_162_complex_bar,original,Service Level Agreement - (Operational Metrics),grouped_bar,high,complete,38,2025-06-21T15:31:04.234689,20.27930474281311,chart_162_complex_bar,none,none,True,0,0,0
chart_002_medium_line,original,Product Line Profitability - (Business Analytics),line,medium,complete,10,2025-06-21T15:31:12.718663,7.466436147689819,chart_002_medium_line,none,none,True,0,0,0
chart_043_medium_pie,original,Customer Satisfaction Metrics - (Business Analytics),pie,high,complete,9,2025-06-21T15:31:19.568776,5.837890625,chart_043_medium_pie,none,none,True,0,0,0
chart_013_advanced_bar,original,Market Share Analysis - (Business Analytics),grouped_bar,high,complete,13,2025-06-21T15:31:30.319167,9.743253469467163,chart_013_advanced_bar,none,none,True,0,0,0
chart_083_complex_bar,original,Correlation Analysis - (Scientific Research),grouped_bar,high,complete,27,2025-06-21T15:31:47.184454,15.848198175430298,chart_083_complex_bar,none,none,True,0,0,0
chart_034_medium_line,original,Market Share Analysis - (Business Analytics),line,medium,complete,14,2025-06-21T15:31:58.051085,9.863229036331177,chart_034_medium_line,none,none,True,0,0,0
chart_040_medium_area,original,Quarterly Performance Dashboard - (Business Analytics),line,high,complete,10,2025-06-21T15:32:07.013615,7.95341944694519,chart_040_medium_area,none,none,True,0,0,0
chart_147_complex_pie,original,Economic Indicators - (Financial Analysis),pie,high,complete,8,2025-06-21T15:32:15.326365,7.311314821243286,chart_147_complex_pie,none,none,True,0,0,0
chart_156_complex_bar,original,Service Level Agreement - (Operational Metrics),grouped_bar,high,complete,36,2025-06-21T15:33:40.668894,84.33322095870972,chart_156_complex_bar,none,none,True,0,0,0
chart_076_medium_area,original,Multi Variable Relationship - (Scientific Research),line,medium,partial,7,2025-06-21T15:33:48.651409,6.980008840560913,chart_076_medium_area,none,none,True,0,0,0
chart_042_medium_bar,original,Market Share Analysis - (Business Analytics),grouped_bar,high,complete,24,2025-06-21T15:34:03.884466,14.217621803283691,chart_042_medium_bar,none,none,True,0,0,0
chart_158_medium_bar,original,Production Efficiency - (Operational Metrics),grouped_bar,high,complete,21,2025-06-21T15:34:17.851420,12.964536428451538,chart_158_medium_bar,none,none,True,0,0,0
chart_007_complex_line,original,Product Line Profitability - (Business Analytics),line,medium,complete,10,2025-06-21T15:34:32.634688,13.772664546966553,chart_007_complex_line,none,none,True,0,0,0
chart_010_advanced_pie,original,Customer Satisfaction Metrics - (Business Analytics),pie,high,complete,11,2025-06-21T15:34:41.568973,7.9238903522491455,chart_010_advanced_pie,none,none,True,0,0,0
chart_036_advanced_bar,original,Quarterly Performance Dashboard - (Business Analytics),grouped_bar,high,complete,24,2025-06-21T15:35:02.585057,20.013858318328857,chart_036_advanced_bar,none,none,True,0,0,0
chart_067_advanced_scatter,original,Sensor Measurements Overtime - (Scientific Research),scatter,high,complete,11,2025-06-21T15:35:10.269510,6.676617383956909,chart_067_advanced_scatter,none,none,True,0,0,0
